Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Key Caps","For the switches to put on",3,1.05,"https://stackskb.com/store/numpad-keycaps/?attribute_variant=Blue+Gradient","Stackskb"
"Seeed Studio XIAO ESP32-S3","Main brain and wifi",1,9.25,"https://robocraze.com/products/seeed-studio-xiao-esp32-s3-development-board-supports-wi-fi-bluetooth-5-0?variant=47775391645920&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=23145906364&adgroupid=182236965810&keyword=&device=c&gad_source=1&gad_campaignid=23145906364&gbraid=0AAAAADgHQvZEcZ_HwwUxnilTVNz_MKr6I&gclid=Cj0KCQjwh-HPBhCIARIsAC0p3cfT63K7x63Dem8TXSh5brIgd7uVP7yRR6PnYubYDZkiwiTssJBasOcaAu79EALw_wcB","Robocraze"
"Mechanical keyboard Switches","For Play,Pause, Repeat Rewind	",3,1.80,"https://neomacro.in/products/outemu-lemon-v3-silent","Neomacro"
"1.8"" TFT LCD Display","The main Display",1,2.98,"https://robu.in/product/62060?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWfl0wbwPT4ZVo9sxeeVs0M8Z&gclid=CjwKCAjw46HPBhAMEiwASZpLREHN-ZwtgzPun6ty0zZBy49wXYert2rmgCoFLBp-XJYnwC6HgCjXqBoC0ikQAvD_BwE","Robu.in"
"Toggle switch","For power on/off",1,0.46,"https://robu.in/product/mini-mts-203-6-pin-dpdt-6a-125vac-toggle-switch-pack-of-5","Robu.in"
"3.7v 800mAh battery","For Standby Power",1,2.34,"https://robu.in/product/wly102040-800mah-3-7v-single-cell-rechargeable-lipo-battery","Robu.in"
